name;address
Armazém Santa Amélia;Rua da Sinfonia, 253, Santa Amélia, Belo Horizonte - MG, 31560-420
Bar do Kim;Rua Júlio de Castilho, 1071, Palmeiras, Belo Horizonte - MG, 30570-080
Bar Du Du;R. Vinte e Oito de Setembro, 229, Esplanada, Belo Horizonte - MG, 30280-230
Bar Temático Sta. Teresa;R. Pirite, 187, Santa Teresa, Belo Horizonte - MG, 31010-420
Bazin Bar;R. Min. Orozimbo Nonato, 1053, Dona Clara, Belo Horizonte - MG, 31260-155
Buteco do Lili;R. Líbero Badaró, 493, Dona Clara, Belo Horizonte - MG, 31255-620
Buteco Tô D’Boa;Av. Virgílio de Melo Franco, 400, Jardim Atlântico, Belo Horizonte - MG, 31555-120
Buteco’s Bar;R. Ernesto Braga, 2, Jardim Atlântico, Belo Horizonte - MG, 31560-000
Deck Boi na Brasa;R. Desembargador José Satyro, 302, Manacás, Belo Horizonte - MG, 30840-470
Iracema bar;R. Almandina, 56, Santa Teresa, Belo Horizonte - MG, 31010-080
Já Tô Inno;R. Benjamim Dias, 379, Barreiro, Belo Horizonte - MG, 30640-520
Santa Boemia;R. Mármore, 534, Santa Teresa, Belo Horizonte - MG, 31010-220
Xambar;Av. Augusto de Lima, 233 - Edifício Maleta, Centro, Belo Horizonte - MG, 30160-906
